,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
0,20160201,BID,16300.0,16300.0,16500.0,16900.0,1626710,0.0,0.0,-66.66666666666812,100.0,0.0
1,20160201,BVH,50000.0,50000.0,51000.0,52000.0,555480,0.0,0.0,-66.66666666666667,100.0,0.0
2,20160201,CTG,17100.0,17100.0,17600.0,17600.0,325280,0.0,0.0,-66.66666666666563,100.0,0.0
3,20160201,FPT,46600.0,46000.0,46500.0,46900.0,584110,0.0,0.0,-66.66666666666485,100.0,0.0
4,20160201,GAS,37500.0,37500.0,39400.0,39500.0,1125880,0.0,0.0,-66.66666666666667,100.0,0.0
5,20160201,HPG,26700.0,26700.0,27500.0,28000.0,855840,0.0,100.0,-66.6666666666663,100.0,0.0
6,20160201,KDH,20700.0,20700.0,20900.0,21000.0,107210,0.0,0.0,-66.66666666666812,100.0,0.0
7,20160201,MBB,14400.0,14300.0,14400.0,14500.0,1100900,0.0,0.0,-66.66666666666667,100.0,0.0
8,20160201,MSN,71500.0,71500.0,72500.0,72500.0,51260,0.0,0.0,66.66666666666667,100.0,0.0
9,20160201,MWG,72000.0,71000.0,71000.0,72500.0,105090,0.0,100.0,66.66666666667248,100.0,0.0
10,20160201,PDR,12900.0,12800.0,13000.0,13000.0,302890,0.0,100.0,-66.66666666666485,100.0,0.0
11,20160201,PNJ,44500.0,44000.0,45000.0,45300.0,63520,0.0,100.0,66.66666666666376,100.0,0.0
12,20160201,SSI,20300.0,20300.0,20500.0,20700.0,1562130,0.0,100.0,-66.66666666666667,100.0,0.0
13,20160201,STB,11200.0,11200.0,11300.0,11400.0,323240,0.0,0.0,-66.66666666666667,100.0,0.0
14,20160201,VCB,40700.0,40700.0,41400.0,41500.0,223320,0.0,0.0,-66.66666666666752,100.0,0.0
15,20160201,VIC,47000.0,47000.0,47200.0,47900.0,1133280,0.0,0.0,-66.66666666666535,100.0,0.0
16,20160201,VNM,119000.0,116000.0,116000.0,120000.0,865310,0.0,100.0,66.66666666666667,100.0,0.0
17,20160202,BID,16200.0,16000.0,16200.0,16800.0,824540,-2.243589743589837,0.0,-66.66666666666812,100.0,0.0
